Source,Target
Hamdy Ahmed,Mahmoud El Meleigy
Bayyumi Fuad,Mohammed Tharwat
Eisa Diab,Mona Shaddad
Asmaa Abou El Yazeed,Zafer Abdeen
Rico,Youssef Eid
Bassem Samra,Haifa Wehbe
Ezzat El Alaili,Laila Fawzy
Rasha Amin,Sabri Abdulmonem
Ahmed Hatem,Heba Abdelaziz
Mahmoud El Fishawy,Sarrah Abdelrahman
Hassan Abdulfattah,Laila Gamal
Dina Fouad,Nadia Fahmi
Amgad Elsharqawy,Karim Abdel Aziz
Alaa Seif,Pierre Seyoufr
Ayman Mabrouk,Dima Al Jundi
Ahmed Seyam,Nabil Issa
Aly Eltayeb,Tarek Abdel Aziz
Omar Mustafa Metwally,Riham Ayman
Lamitta Frangieh,Mai Ezzidine
Mohamed Lotfy,Rasha Amin
Hamada Helal,Samia Trabelsi
Abdalah Mishrif,Hassan Abdulfattah
Hussein Riad,Zaki Tolaimat
Laila Fawzy,Zaki Tolaimat
Ahmed Safwat,Tamim Abdou
Karim Afifi,Mai Selim
Noor Kadri,Shikoo
Muhammad Qishta,Nahla Zaki
Magda El-Khatib,Yousra
Maged El Kedwany,Rasha Amin
Afaf Rashad,Hamdy Heykal
Arwa Gouda,Mostafa Shaban
Jerjes Jbara,Yasser Ali Maher
Abdalah Mishrif,Mayar El Gheity
Ahmad Wafiq,Mohamed Abo El Hassan
Jihane Khalil,Mahmoud Hijazi
Mohamed Lotfy,Soleiman Eid
Khaled Kamal,Mahmoud El-Bazzawy
Karim Abdel Aziz,Maged El Kedwany
Arwa Gouda,Sawsan Badr
Mohamed Mamdouh,Sawsan Badr
Mohamed Abo El Hassan,Riham Ayman
Kinda Alloush,Mona Zaki
Dalal Abdelaziz,Menna Shalaby
Amr Abdel-Geleel,Dawood Hussain
Karim Abdel Aziz,Tara Emad
Ghada Adel,Mustafa Haridi
Amr Abdel-Geleel,Youssef Chahine
Bayyumi Fuad,Entessar
Bayyumi Fuad,Hesham Maged
Ahmad Mazhar,Laila Fawzy
Ezzat Abou Aouf,Moustafa Haridy
Mohamed Mamdouh,Mohammad Adel
Ahmed Ramzy,Aziza Helmy
Leila Ezz Al Arab,Mohamed Henedy
Hamdy Heykal,Maher Essam
Ahmed Ezz,Samer al Masri
Khaled Raafat,Rady Gamal
Entessar,Hassan El Raddad
Mohammed Tharwat,Tara Emad
Hamdi Al Wazir,Mohammed Tharwat
Mohamed Ramadan,Randa El Behery
Mohsen Hassanein,Omar Sharif
Hesham Maged,Shikoo
Dina El-Sherbiny,Mahmoud El Gendy
Ahmed Fouad Selim,Ezzat Abou Aouf
Hassan Hosny,Mahmoud Ellisy
Donia Samir Ghanim,Lotfy Labib
Inas El Naggar,Mayar El Gheity
Ahmed Fouad Selim,Mohamed Lotfy
Laila Ezz El Arab,Mohamad Yones
Mohamed Shahin,Nabil Issa
Faten Hamama,Menassa Fahmy
Ahmad Wafiq,Riham Ayman
Ahmed Safwat,Mohamed Mamdouh
Huda Sultan,Taheya Cariocca
Eyad Nassar,Mohamed Farraag
Nasr Seif,Shawqi Shamekh
Ahmed Seyam,Bayoumi Fouad
Khalid Abdalla,Ragia Omran
Mahmoud Hemeida,Seif Abdelrahman
Ahmad Mazhar,Hamdy Gheith
Ghadah Abdulrazeq,Sabry Fawwaz
Marwa Abdel Monem,Maysara
Madlyn Tabar,Yasser Ali Maher
Farouk El Fishawy,Hesham Selim
Ahmad Mehrez,Majida El Roumi
Sawsan Badr,Yousra El Lozy
Ahmed Fouad Selim,Hanan Turk
Laila Ezz El Arab,Mohammad Adel
Ahmad Wafiq,Bushra
Ashraf Zaki,Mostafa Shaban
Mohammed Tharwat,Samir Sabri
Ahmed Zaki,Naglaa Fathi
Hussein Fahmy,Youssef Chahine
Hamdy Ahmed,Yehia Chahine
Ashraf Zaki,Sawsan Badr
Ayten Amer,Mohamed Ragab
Aseel Omran,Ayman Mabrouk
Ashraf Zaki,Majed Abdulazim
Mahmoud El Gendy,Sawsan Badr
Ahmed Safwat,Amr Youssef
Ruby,Sawsan Badr
Mohammed Tharwat,Nada Moussa
Hana El Zahed,Mahmoud El-Bazzawy
Mahmood El-Laithi,Sofinar
Ahmed Rizk,Hayatem
Adel Imam,Badria Tolba
Hassan el Baroudi,Youssef Chahine
Ahmed Mekky,Hussien El Imam
Ahmed Fathy,Ramez Galal
Ali Rabee,Dalal Abdel Aziz
Hani R. Eskander,Hashem El Garhy
Emy Samir Ghanim,Ragaa Al-Geddawy
Ahmed Kamal,Laila Ezz El Arab
Aziza Helmy,Ferdoos Mohammed
Hassan Hosny,Reda Hamed
Mahmood El-Laithi,Safinaz
Karim Abdel Aziz,Maha Ahmed
Kamal Suliman,Mona Zaki
Mai Ezz El-Din,Yousra
Hesham Ismail,Sad Al-Saghir
Mohamed Saad,Omar Mustafa Metwally
Mirhan,Tamer Hosny
Adel Emam,Hassan Moustafa
Sawsan Badr,Tarek Abdel Aziz
Bothaina Kamel,Ragia Omran
Adel Imam,Bushra
Amina Khalil,Mahmoud El-Bezzawy
Carmen Bsaibes,Leila Ezz Al Arab
Khalid Abdalla,Ramy Essam
Bayoumi Fouad,Mohamed Abdel-Rahman
Hassan Abdulfattah,Hesham Ismail
Mostafa Abbas,Youssef Eid
Ahmed Helmy,Ahmed Saeed Abdel-Ghany
Faten Hamama,Ferdoos Mohammed
Akram Hosny,Hassan Hosny
Ayten Amer,Reem Al Baroudi
Amr El Kady,Husni Sheta
Nahed Gabr,Shawqi Shamekh
Basma Yasser,Laila Ezz El Arab
Dina Fouad,Sabri Abdulmonem
Ahmad Mazhar,Hussein Riad
Pierre Seyoufr,Ragia Omran
Ragaa Al-Geddawy,Samir Ghanem
Salwa Mohammed,Tamer Hosny
Abdelghany Kamar,Menassa Fahmy
Mohammad Adel,Sherine
Mohamed Al Shakankeery,Mohamed Ragab
Aida Reyad,Sayed Rajab
Hassan Hosny,Sameh Hussain
Hazem Samir,Mahmoud Gharib
Khaled El Nabawy,Seif Abdelrahman
Adel Emam,Suhair El-Babili
Ahmed Fathy,Inas al-Najjar
Eman El-Sayed,Mohamed Lotfy
Fathy Abdel Wahab,Yousra El Lozy
Dalal Abdel Aziz,Youssef El Sherif
Ahmed Fathy,Nagua Fouad
Hakim,Nagua Fouad
Ashraf Abdel Baqi,Khaled El Sawy
Mahmoud El Meleigy,Shoukry Sarhan
Fathy Abdel Wahab,Karima Mokhtar
Hala Sarhan,Hatem Jamel
Ahmed Helmy,Hany El Sabagh
Dina El-Sherbiny,Walid Fawaz
Sawsan Badr,Sherine
Ghassan Mattar,Saad El Soghayar
Afaf Rashad,Omar Mustafa Metwally
Lotfy Labib,Mona Hala
Haya Ibrahim,Sami Maghouri
Ahmed Helmy,Osama Munir
Edward Fouad,Ramez Galal
Moustafa Haridy,Muhammad Qishta
Bayoumi Fouad,Lotfy Labib
